DEN_Z_URB,avg_CO_2_per_road,avg_NO_x_per_road,avg_PM_per_road,avg_VOC_per_road
Marconi,17.728362493367293,0.016624334997712886,0.0003593905027307945,0.09774204643270197
Malafede,35.81982240603762,0.020255617028168874,0.00041551429343194044,0.1077068888496921
Parioli,15.142075010818191,0.013574167671864406,0.0002682198400301902,0.08131968438368321
Martignano,351.4311354160309,0.18524309661976682,0.003321079055069731,0.8453971127892146
Porta Medaglia,89.40935934869121,0.053391467714748335,0.0012052289111690417,0.21336690370676126
Acilia Nord,13.354859049295642,0.009566176234528536,0.00024221952880209064,0.055056282871891266
Eroi,16.551765058073617,0.014903624254342484,0.00036728644686734156,0.0861163742397791
Tre Fontane,19.906911652738398,0.014769232681620368,0.0005509660813942164,0.07905475870510352
Testaccio,8.497247318058838,0.007424329369606301,0.00013073329446541812,0.04544500485352739
Navigatori,14.343500776633398,0.010396924773804538,0.00030620542472898515,0.05390052703705579
Santa Palomba,42.35707442323829,0.026811272356246984,0.0008268005261233161,0.12370995869622316
Villaggio Giuliano,8.96450826061784,0.007856882142423617,0.00015813253923763687,0.04918307311067419
