DEN_Z_URB,avg_CO_2_per_road,CO_2_alpha,avg_NO_x_per_road,NO_x_alpha,avg_PM_per_road,PM_alpha,avg_VOC_per_road,VOC_alpha
Omo,143.37652394709303,1.4051992309679247,0.05094475237844311,1.4430839910947288,0.0006458625928388267,1.2424032193199093,0.3025352489970991,1.4571330854836548
Acquatraversa,40.34933442941734,1.0000036517826913,0.0337799213871005,1.0000000000506857,0.0009928809151493422,1.0000000000002491,0.18495713626361976,1.0000000076697928
Portuense,35.528293895422735,1.510333781038147,0.022962791466372007,1.4784165894257946,0.0007482450555383917,1.6339650208147658,0.11254229268750202,1.584447437360033
Pian Due Torri,50.394625712018524,1.4247912966438103,0.029636929799157156,1.3947742907213214,0.0007571146902498052,1.3557386343392157,0.1476423555936654,1.4437303582947598
Tor Sapienza,161.773979490757,1.6025008872827664,0.05400285030856702,1.5787314306591955,0.0006260592620151279,1.4222297099682137,0.2747387482651975,1.5782755737891345
Torre Angela,88.4866275194905,1.7476150625912725,0.03861370500525305,1.7160119459228071,0.0006864150204570137,1.5376232739783369,0.18809042714767674,1.8281698296079119
Parioli,55.62469505614195,1.4589250027117517,0.05020049094472107,1.5357062609458723,0.0013077585550885318,1.416001531515082,0.255425586882372,1.721367674401903
Gregna,109.19727404933909,1.2905553746329064,0.053822901981153325,1.2023761114270417,0.0010833744816775063,1.1022550268265208,0.2635617629750967,1.269627451583151
Giardinetti-Tor Vergata,196.66541266441948,1.6639217858311142,0.08739362873960899,1.7146826501227135,0.0017465934615234445,1.522923597554918,0.3560235303902487,1.719638265072204
Appio-Claudio,17.311154449072617,1.4060416185468865,0.013976013409699414,1.2729726055795498,0.0005568185394768878,1.5583394270270758,0.06739567279965583,1.04172563724542
Flaminio,39.8010376737848,1.3654879985180095,0.027659940708403424,1.3031527222733255,0.0013074972076919937,1.4178795379443065,0.10917246468929823,1.101489260814541
Aurelio Sud,62.968906000834956,1.2091337850968205,0.04317985402567249,1.348504083938347,0.0021388822742929208,1.2555462943291276,0.15890378336182603,1.3359943903089881
Navigatori,45.70125800326943,1.1935929646260743,0.02916200098745537,1.3322559893395358,0.0012579017547326814,1.3748954747229716,0.1076183668189087,1.2170545645804216
Tor Fiscale,44.10585820183649,1.0476968205045114,0.02768595449166931,1.1795941006246806,0.0009997113235812479,1.069385829953946,0.12227332545076573,1.0981676563204976
Aurelio Nord,30.981434072178555,1.1632077305037125,0.023314875982363654,1.0721120245340277,0.0009661125170465772,1.2512009867043443,0.09657979210349707,1.0000000091014365
Monte Sacro Alto,18.672384777349976,1.338719255317189,0.014459921599888776,1.411565695119496,0.00046556231934623347,1.5487268865245896,0.06950973948397221,1.4751930965377946
